molwt	wlogmw
2.66E+04	3.76E-01
2.71E+04	3.70E-01
2.76E+04	3.65E-01
2.81E+04	3.59E-01
2.86E+04	3.53E-01
2.92E+04	3.47E-01
2.97E+04	3.41E-01
3.03E+04	3.36E-01
3.08E+04	3.30E-01
3.14E+04	3.24E-01
3.20E+04	3.18E-01
3.26E+04	3.13E-01
3.32E+04	3.07E-01
3.38E+04	3.01E-01
3.44E+04	2.96E-01
3.51E+04	2.90E-01
3.57E+04	2.84E-01
3.64E+04	2.79E-01
3.71E+04	2.73E-01
3.77E+04	2.68E-01
3.84E+04	2.62E-01
3.92E+04	2.57E-01
3.99E+04	2.52E-01
4.06E+04	2.47E-01
4.14E+04	2.41E-01
4.21E+04	2.36E-01
4.29E+04	2.31E-01
4.37E+04	2.26E-01
4.45E+04	2.22E-01
4.54E+04	2.17E-01
4.62E+04	2.12E-01
4.71E+04	2.08E-01
4.79E+04	2.03E-01
4.88E+04	1.99E-01
4.97E+04	1.94E-01
5.06E+04	1.90E-01
5.16E+04	1.86E-01
5.25E+04	1.82E-01
5.35E+04	1.78E-01
5.45E+04	1.74E-01
5.55E+04	1.70E-01
5.66E+04	1.66E-01
5.76E+04	1.63E-01
5.87E+04	1.59E-01
5.98E+04	1.56E-01
6.09E+04	1.52E-01
6.20E+04	1.49E-01
6.32E+04	1.46E-01
6.43E+04	1.42E-01
6.55E+04	1.39E-01
6.67E+04	1.36E-01
6.80E+04	1.33E-01
6.92E+04	1.30E-01
7.05E+04	1.27E-01
7.18E+04	1.24E-01
7.32E+04	1.22E-01
7.45E+04	1.19E-01
7.59E+04	1.16E-01
7.73E+04	1.14E-01
7.87E+04	1.11E-01
8.02E+04	1.08E-01
8.17E+04	1.06E-01
8.32E+04	1.03E-01
8.48E+04	1.00E-01
8.63E+04	9.79E-02
8.79E+04	9.54E-02
8.96E+04	9.30E-02
9.12E+04	9.05E-02
9.29E+04	8.81E-02
9.46E+04	8.57E-02
9.64E+04	8.33E-02
9.82E+04	8.10E-02
1.00E+05	7.86E-02
1.02E+05	7.64E-02
1.04E+05	7.41E-02
1.06E+05	7.19E-02
1.08E+05	6.97E-02
1.10E+05	6.75E-02
1.12E+05	6.54E-02
1.14E+05	6.33E-02
1.16E+05	6.13E-02
1.18E+05	5.93E-02
1.20E+05	5.73E-02
1.22E+05	5.54E-02
1.25E+05	5.35E-02
1.27E+05	5.17E-02
1.29E+05	4.98E-02
1.32E+05	4.80E-02
1.34E+05	4.62E-02
1.37E+05	4.46E-02
1.39E+05	4.29E-02
1.42E+05	4.14E-02
1.44E+05	3.99E-02
1.47E+05	3.85E-02
1.50E+05	3.70E-02
1.53E+05	3.57E-02
1.55E+05	3.44E-02
1.58E+05	3.31E-02
1.61E+05	3.19E-02
1.64E+05	3.08E-02
1.67E+05	2.96E-02
1.70E+05	2.86E-02
1.74E+05	2.75E-02
1.77E+05	2.65E-02
1.80E+05	2.55E-02
1.83E+05	2.46E-02
1.87E+05	2.37E-02
1.90E+05	2.28E-02
1.94E+05	2.20E-02
1.97E+05	2.12E-02
2.01E+05	2.05E-02
2.05E+05	1.98E-02
2.09E+05	1.90E-02
2.13E+05	1.83E-02
2.17E+05	1.77E-02
2.21E+05	1.70E-02
2.25E+05	1.64E-02
