# Average monomer weight: 200
# Computed avg degree of polymerization 18.7
# All outputs are in units of monomer wt units
# Simulated/Experimental Mn: 3740, 3919.73
# Simulated/Experimental Mw: 14128.7, 14517.4
# Simulated/Experimental Mz: 29300, 63143.4
molwt	pMW	cMW	wMW	wlogMW
102000	7.34333e-12	0.999539	7.4902e-07	0.0764
104000	6.85096e-12	0.999565	7.125e-07	0.0741
106000	6.39907e-12	0.999589	6.78302e-07	0.0719
108000	5.97565e-12	0.999612	6.4537e-07	0.0697
110000	5.57851e-12	0.999633	6.13636e-07	0.0675
112000	5.21365e-12	0.999653	5.83929e-07	0.0654
114000	4.87073e-12	0.999671	5.55263e-07	0.0633
116000	4.55559e-12	0.999688	5.28448e-07	0.0613
118000	4.25883e-12	0.999704	5.02542e-07	0.0593
120000	3.97917e-12	0.999719	4.775e-07	0.0573
122000	3.72212e-12	0.999733	4.54098e-07	0.0554
125000	3.424e-12	0.999746	4.28e-07	0.0535
127000	3.20541e-12	0.999765	4.07087e-07	0.0517
129000	2.99261e-12	0.999776	3.86047e-07	0.0498
132000	2.75482e-12	0.999786	3.63636e-07	0.048
134000	2.57296e-12	0.999801	3.44776e-07	0.0462
137000	2.37626e-12	0.99981	3.25547e-07	0.0446
139000	2.22038e-12	0.999823	3.08633e-07	0.0429
142000	2.05316e-12	0.999831	2.91549e-07	0.0414
144000	1.92419e-12	0.999842	2.77083e-07	0.0399
147000	1.78167e-12	0.999848	2.61905e-07	0.0385
150000	1.64444e-12	0.999858	2.46667e-07	0.037
153000	1.52505e-12	0.999867	2.33333e-07	0.0357
155000	1.43184e-12	0.999875	2.21935e-07	0.0344
158000	1.32591e-12	0.99988	2.09494e-07	0.0331
161000	1.23066e-12	0.999887	1.98137e-07	0.0319
164000	1.14515e-12	0.999893	1.87805e-07	0.0308
167000	1.06135e-12	0.999899	1.77246e-07	0.0296
170000	9.89619e-13	0.999905	1.68235e-07	0.0286
174000	9.0831e-13	0.99991	1.58046e-07	0.0275
177000	8.45862e-13	0.999917	1.49718e-07	0.0265
180000	7.87037e-13	0.999921	1.41667e-07	0.0255
183000	7.3457e-13	0.999925	1.34426e-07	0.0246
187000	6.77743e-13	0.999929	1.26738e-07	0.0237
190000	6.31579e-13	0.999934	1.2e-07	0.0228
194000	5.84547e-13	0.999937	1.13402e-07	0.022
197000	5.46265e-13	0.999941	1.07614e-07	0.0212
201000	5.07413e-13	0.999944	1.0199e-07	0.0205
205000	4.71148e-13	0.999948	9.65854e-08	0.0198
209000	4.34972e-13	0.999951	9.09091e-08	0.019
